Title,Author,Genre,Price,Quantity
Beyond the Veil,Terry Pratchett,Thriller,181.34,137
Golden Empire,J.K. Rowling,Mystery,568.37,92
Golden Empire,Tana French,History,1120.81,39
Kingdom of Ash,Brandon Sanderson,Science Fiction,648.91,100
Tides of Destiny,Haruki Murakami,Mystery,1129.25,25
Fragments of Light,Terry Pratchett,Fantasy,366.77,82
Beneath the Stars,Agatha Christie,Romance,411.45,24
The Hidden Path,George R.R. Martin,Thriller,506.65,137
The Silent Sea,Ernest Cline,Fiction,712.5,139
The Silent Sea,Margaret Atwood,Science Fiction,693.73,53
Golden Empire,Gillian Flynn,Romance,664.07,70
The Lost Horizon,Ernest Cline,Fiction,900.24,65
The Lost Horizon,C.S. Lewis,History,200.78,37
Tides of Destiny,Paulo Coelho,Science Fiction,1137.28,127
City of Echoes,Margaret Atwood,Fiction,998.92,146
The Forgotten Tale,R.F. Kuang,Thriller,883.08,59
Heart of Steel,Harlan Coben,Mystery,343.97,127
Fragments of Light,Agatha Christie,Fantasy,376.59,131
Stormbreaker,Terry Pratchett,Fantasy,182.21,44
Arcane Secrets,Tana French,History,214.64,48
Crimson Sky,Kazuo Ishiguro,Thriller,1104.31,34
The Final Oath,Kazuo Ishiguro,History,323.31,62
The Lost Horizon,Leigh Bardugo,Science Fiction,1126.62,33
Silent Guardian,Margaret Atwood,Mystery,558.37,50
City of Echoes,Colleen Hoover,Fiction,1042.5,62
Heart of Steel,Paulo Coelho,Fantasy,801.68,96
Infinite Realms,Andy Weir,Romance,976.42,55
The Hidden Path,John Grisham,Mystery,1184.58,129
Shadows of Fate,Rick Riordan,Romance,520.37,124
Arcane Secrets,Agatha Christie,Fiction,891.78,40
The Lost Horizon,James Patterson,Fantasy,160.44,76
The Hidden Path,George R.R. Martin,Thriller,953.81,8
The Hidden Path,Paulo Coelho,Mystery,449.77,22
Fragments of Light,Colleen Hoover,History,169.73,37
Silent Guardian,Harlan Coben,Fantasy,849.68,33
Whispers of Time,George R.R. Martin,Romance,806.52,137
Golden Empire,John Grisham,Biography,874.09,27
The Sapphire Flame,Gillian Flynn,Biography,1025.13,91
Shadows of Fate,Rick Riordan,Science Fiction,517.88,28
Beneath the Stars,George R.R. Martin,History,190.0,19
Beyond the Veil,Colleen Hoover,Biography,685.99,76
Dreamcatcher,George R.R. Martin,Biography,1075.29,87
Beyond the Veil,Agatha Christie,History,464.28,25
Nightfall,C.S. Lewis,Biography,1114.03,118
Rise of Legends,Neil Gaiman,Fiction,480.77,142
Beneath the Stars,Ernest Cline,Fantasy,629.5,98
Kingdom of Ash,Stephen King,Fantasy,851.31,134
Beyond the Veil,Nicholas Sparks,Biography,256.0,119
City of Echoes,Tana French,Romance,451.66,123
The Hidden Path,Suzanne Collins,Biography,300.84,40
Nightfall,Haruki Murakami,Biography,1136.95,56
The Silent Sea,Neil Gaiman,Biography,291.84,125
Tides of Destiny,Terry Pratchett,Fantasy,510.1,83
Edge of Tomorrow,Nicholas Sparks,Mystery,512.96,90
City of Echoes,Veronica Roth,Mystery,764.55,59
Echoes of Eternity,Brandon Sanderson,Fantasy,663.59,102
Golden Empire,James Patterson,Fantasy,335.74,112
Fragments of Light,Agatha Christie,History,980.58,148
The Sapphire Flame,John Grisham,Fiction,904.28,46
Whispers of Time,Brandon Sanderson,Thriller,600.61,19
Whispers of Time,E.L. James,Thriller,636.26,127
Silent Guardian,Nicholas Sparks,Fantasy,877.68,33
Silent Guardian,Nicholas Sparks,Mystery,598.2,101
Shadows of Fate,Andy Weir,Thriller,275.51,39
Beneath the Stars,Tana French,Fiction,169.26,119
Kingdom of Ash,Haruki Murakami,Biography,1079.56,41
Winds of Winter,Harlan Coben,Science Fiction,598.9,138
Infinite Realms,Margaret Atwood,Fiction,970.36,113
The Celestial Key,Agatha Christie,Science Fiction,677.53,3
The Forgotten Tale,Dan Brown,Mystery,490.69,6
The Time Weaver,Kazuo Ishiguro,Thriller,1121.82,86
Arcane Secrets,Paulo Coelho,Romance,251.83,136
The Celestial Key,Tana French,Romance,1121.11,86
Infinite Realms,Nicholas Sparks,History,1156.76,98
Edge of Tomorrow,Stephen King,Biography,865.87,146
The Celestial Key,Margaret Atwood,Fiction,651.66,48
Golden Empire,Neil Gaiman,Biography,465.89,11
Whispers of Time,E.L. James,Romance,866.52,80
Tides of Destiny,Suzanne Collins,Biography,337.22,121
Winds of Winter,J.K. Rowling,Biography,286.04,138
Arcane Secrets,Kazuo Ishiguro,Fiction,1051.81,99
The Final Oath,Margaret Atwood,Thriller,942.05,97
Crimson Sky,C.S. Lewis,Fiction,834.87,50
Edge of Tomorrow,Sarah J. Maas,Fantasy,1123.27,77
The Sapphire Flame,Suzanne Collins,Science Fiction,558.14,101
The Final Oath,Kazuo Ishiguro,Biography,1078.19,119
Tides of Destiny,Tana French,Mystery,932.19,82
The Time Weaver,Paulo Coelho,Romance,623.4,68
Infinite Realms,George R.R. Martin,Fiction,298.91,83
Whispers of Time,Neil Gaiman,Mystery,768.94,99
The Sapphire Flame,Andy Weir,Fantasy,735.17,34
Infinite Realms,Andy Weir,Biography,340.92,88
Infinite Realms,Veronica Roth,Romance,546.33,3
Rise of Legends,Tana French,Mystery,627.86,133
Rise of Legends,Margaret Atwood,Fiction,780.2,63
Arcane Secrets,Colleen Hoover,Mystery,933.36,96
The Celestial Key,George R.R. Martin,Romance,1145.56,4
The Hidden Path,E.L. James,Mystery,417.88,134
Silent Guardian,C.S. Lewis,Science Fiction,335.67,87
Winds of Winter,Margaret Atwood,Fantasy,964.39,84
Dreamcatcher,Stephen King,History,240.52,115
Tides of Destiny,Brandon Sanderson,Biography,598.44,63
The Forgotten Tale,J.K. Rowling,Romance,397.71,81
The Final Oath,Leigh Bardugo,History,1059.34,138
Beyond the Veil,Stephenie Meyer,Fantasy,233.5,62
Tides of Destiny,Stephen King,Mystery,746.51,71
The Lost Horizon,Andy Weir,Romance,254.31,32
Tides of Destiny,Veronica Roth,Thriller,811.3,101
Shadows of Fate,Sarah J. Maas,Thriller,1069.36,146
Silent Guardian,Harlan Coben,Mystery,1117.9,12
The Silent Sea,Rick Riordan,Fantasy,823.53,12
Arcane Secrets,Margaret Atwood,Fantasy,388.06,95
The Hidden Path,Tana French,Science Fiction,344.97,131
The Celestial Key,R.F. Kuang,Biography,501.69,33
Heart of Steel,Gillian Flynn,Biography,570.48,145
Golden Empire,Dan Brown,History,167.33,110
Fragments of Light,Harlan Coben,History,673.4,20
The Hidden Path,E.L. James,Fiction,787.76,126
The Silent Sea,R.F. Kuang,Mystery,680.8,95
Winds of Winter,Ernest Cline,Fantasy,1141.16,125
Shadows of Fate,Suzanne Collins,History,275.28,8
Shadows of Fate,Colleen Hoover,Romance,921.16,104
Infinite Realms,Brandon Sanderson,Fantasy,335.79,139
The Final Oath,Veronica Roth,Thriller,983.59,6
Shadows of Fate,George R.R. Martin,History,215.33,33
Whispers of Time,James Patterson,Mystery,467.76,60
Last Ember,Harlan Coben,Science Fiction,186.47,122
Heart of Steel,Nicholas Sparks,Science Fiction,278.57,128
Winds of Winter,Terry Pratchett,Science Fiction,182.02,132
Dreamcatcher,Sarah J. Maas,Science Fiction,975.2,69
Rise of Legends,C.S. Lewis,Romance,435.22,70
Stormbreaker,James Patterson,Science Fiction,525.51,146
The Hidden Path,Haruki Murakami,Biography,668.67,61
Nightfall,Haruki Murakami,History,427.3,40
Arcane Secrets,Kazuo Ishiguro,Science Fiction,1044.17,8
The Sapphire Flame,James Patterson,History,571.22,28
Nightfall,Stephen King,Science Fiction,380.43,88
The Sapphire Flame,Veronica Roth,Fiction,993.12,59
The Sapphire Flame,Andy Weir,Fiction,662.26,9
Dreamcatcher,Andy Weir,Fantasy,476.45,14
Heart of Steel,Colleen Hoover,Biography,931.36,75
The Forgotten Tale,Suzanne Collins,Mystery,377.62,16
Edge of Tomorrow,Haruki Murakami,Fiction,1001.45,102
Kingdom of Ash,Stephenie Meyer,Fantasy,942.24,107
Beyond the Veil,J.K. Rowling,Biography,208.22,145
Beneath the Stars,George R.R. Martin,History,242.04,135
The Time Weaver,Agatha Christie,Science Fiction,563.56,37
The Sapphire Flame,Kazuo Ishiguro,History,655.52,5
Crimson Sky,J.K. Rowling,Biography,1065.21,12
City of Echoes,Rick Riordan,Mystery,651.26,114
Crimson Sky,Gillian Flynn,Thriller,1006.54,128
Fragments of Light,Ernest Cline,History,1176.66,54
Crimson Sky,James Patterson,Romance,364.61,44
Crimson Sky,Harlan Coben,Fiction,639.23,21
Echoes of Eternity,Gillian Flynn,Fiction,515.95,20
Infinite Realms,Kazuo Ishiguro,Biography,469.65,60
Infinite Realms,C.S. Lewis,Fantasy,774.11,4
The Lost Horizon,Haruki Murakami,Science Fiction,666.94,92
The Hidden Path,Terry Pratchett,Fiction,1059.13,88
The Final Oath,Ernest Cline,Thriller,584.58,17
Rise of Legends,Tana French,Fiction,161.36,70
Arcane Secrets,James Patterson,Romance,861.54,2
Fragments of Light,Harlan Coben,Fantasy,1131.76,118
Infinite Realms,Veronica Roth,Fiction,160.13,95
The Sapphire Flame,Veronica Roth,Fantasy,284.95,44
Tides of Destiny,Colleen Hoover,Thriller,660.06,16
The Celestial Key,Haruki Murakami,Mystery,437.73,100
Fragments of Light,Agatha Christie,Thriller,926.2,92
Tides of Destiny,Ernest Cline,Fantasy,852.77,126
Arcane Secrets,Agatha Christie,Fiction,1178.32,63
City of Echoes,John Grisham,Thriller,395.48,119
Nightfall,Nicholas Sparks,Science Fiction,775.1,120
Winds of Winter,Rick Riordan,Thriller,612.44,45
Echoes of Eternity,Terry Pratchett,Fantasy,766.41,134
Fragments of Light,Tana French,Romance,1095.96,73
Fragments of Light,John Grisham,Science Fiction,937.83,123
Beneath the Stars,Terry Pratchett,Fiction,429.72,144
Stormbreaker,E.L. James,Romance,517.68,89
Whispers of Time,Stephen King,Science Fiction,848.25,101
Golden Empire,R.F. Kuang,Romance,161.28,114
The Sapphire Flame,Dan Brown,Mystery,251.83,146
Kingdom of Ash,C.S. Lewis,Science Fiction,304.53,147
Last Ember,Sarah J. Maas,Biography,453.7,130
The Time Weaver,Veronica Roth,Fantasy,445.14,2
The Forgotten Tale,Veronica Roth,Fiction,1025.45,100
Kingdom of Ash,Veronica Roth,Fiction,409.99,95
Nightfall,C.S. Lewis,Fiction,640.04,122
Stormbreaker,C.S. Lewis,Mystery,252.21,30
Fragments of Light,Suzanne Collins,Biography,723.55,144
Silent Guardian,Colleen Hoover,Fantasy,538.03,13
Arcane Secrets,Nicholas Sparks,Fiction,625.43,59
The Silent Sea,R.F. Kuang,Science Fiction,522.76,119
Whispers of Time,Suzanne Collins,Fantasy,877.83,52
The Celestial Key,Stephen King,Biography,264.59,130
City of Echoes,Brandon Sanderson,Thriller,355.65,45
Kingdom of Ash,Dan Brown,History,897.1,69
The Lost Horizon,George R.R. Martin,Fantasy,174.11,79
The Final Oath,Paulo Coelho,History,596.44,62
Fragments of Light,Leigh Bardugo,Science Fiction,610.39,25
Rise of Legends,C.S. Lewis,Romance,445.13,71
Tides of Destiny,Margaret Atwood,Fantasy,893.22,15
Dreamcatcher,Nicholas Sparks,Romance,891.17,9
The Hidden Path,Paulo Coelho,Romance,558.19,118
Silent Guardian,George R.R. Martin,Biography,331.05,71
Nightfall,Andy Weir,Biography,379.57,114
Edge of Tomorrow,Kazuo Ishiguro,Mystery,356.27,111
Nightfall,Kazuo Ishiguro,Science Fiction,975.73,99
The Sapphire Flame,J.K. Rowling,Science Fiction,473.65,77
Winds of Winter,John Grisham,Fantasy,762.18,26
The Celestial Key,Harlan Coben,Thriller,773.07,29
Beneath the Stars,Nicholas Sparks,Thriller,746.78,73
The Celestial Key,Gillian Flynn,Fantasy,307.3,23
Infinite Realms,Leigh Bardugo,Romance,1165.75,40
Crimson Sky,Leigh Bardugo,Biography,212.38,69
Shadows of Fate,Stephen King,Science Fiction,364.28,80
Echoes of Eternity,Stephen King,Romance,164.42,60
Kingdom of Ash,R.F. Kuang,Science Fiction,293.87,9
Edge of Tomorrow,Veronica Roth,Fantasy,806.47,16
Tides of Destiny,Andy Weir,Science Fiction,1084.32,9
Fragments of Light,Tana French,Biography,177.71,143
The Final Oath,Neil Gaiman,Fiction,535.29,79
Crimson Sky,Tana French,History,568.23,109
The Time Weaver,Rick Riordan,Mystery,190.17,59
Golden Empire,Dan Brown,Biography,211.9,110
Arcane Secrets,Agatha Christie,Mystery,610.69,89
Echoes of Eternity,Suzanne Collins,History,523.6,82
Dreamcatcher,Margaret Atwood,History,635.04,43
Crimson Sky,Haruki Murakami,Thriller,915.34,99
Edge of Tomorrow,Rick Riordan,Romance,917.22,23
Crimson Sky,Suzanne Collins,Fantasy,266.94,79
Winds of Winter,R.F. Kuang,History,761.13,81
Golden Empire,Nicholas Sparks,Mystery,972.73,136
City of Echoes,Dan Brown,Science Fiction,411.93,30
Crimson Sky,Kazuo Ishiguro,Thriller,1160.63,116
Stormbreaker,Terry Pratchett,History,235.13,72
Heart of Steel,Paulo Coelho,History,1178.67,91
Dreamcatcher,Agatha Christie,Thriller,1110.03,60
Silent Guardian,Rick Riordan,Romance,833.37,137
Whispers of Time,Margaret Atwood,Mystery,926.39,70
Silent Guardian,Tana French,Biography,897.79,125
The Time Weaver,Veronica Roth,Thriller,662.99,117
