Date,Title,Quantity Sold,Total Revenue
2023-11-09,Tides of Destiny,9,1426.95
2024-06-15,Silent Guardian,4,2708.76
2024-09-28,The Lost Horizon,6,3076.8
2024-09-27,Dreamcatcher,1,201.62
2023-04-13,Last Ember,19,17027.61
2023-03-10,Whispers of Time,23,6690.47
2023-02-15,Silent Guardian,19,12866.61
2023-03-18,Silent Guardian,1,677.19
2024-03-31,The Forgotten Tale,8,4135.04
2023-06-10,Crimson Sky,14,8949.22
2023-09-02,Silent Guardian,9,6094.71
2023-04-10,Heart of Steel,7,6445.32
2023-10-08,The Lost Horizon,21,10768.8
2024-07-14,Fragments of Light,13,8586.5
2023-07-15,Nightfall,11,7233.38
2023-09-04,The Forgotten Tale,10,5168.8
2024-02-02,Infinite Realms,20,16059.6
2023-10-17,Shadows of Fate,6,5284.8
2024-04-02,Whispers of Time,5,1454.45
2023-10-13,The Time Weaver,17,13646.75
2024-08-13,Arcane Secrets,5,5702.1
2023-01-01,Tides of Destiny,20,3171.0
2024-10-07,Edge of Tomorrow,17,4598.84
2023-11-19,Infinite Realms,2,1605.96
2024-06-28,Arcane Secrets,6,6842.52
2024-01-10,The Final Oath,2,2279.92
2024-10-07,Golden Empire,4,4172.12
2024-05-18,Last Ember,23,20612.37
2023-06-16,Kingdom of Ash,22,23464.76
2024-04-20,Rise of Legends,10,2045.5
2024-04-07,Dreamcatcher,16,3225.92
2024-02-23,The Hidden Path,19,14944.45
2024-02-21,Shadows of Fate,12,10569.6
2024-08-19,The Forgotten Tale,22,11371.36
2024-07-29,Kingdom of Ash,5,5332.9
2023-04-16,Nightfall,7,4603.06
2024-05-15,Infinite Realms,23,18468.54
2024-10-08,Last Ember,4,3584.76
2024-02-27,Stormbreaker,9,6193.08
2023-12-25,The Lost Horizon,19,9743.2
2023-03-25,Rise of Legends,11,2250.05
2023-02-03,The Forgotten Tale,24,12405.12
2023-02-26,Fragments of Light,9,5944.5
2023-04-05,Tides of Destiny,16,2536.8
2023-02-23,Golden Empire,10,10430.3
2024-08-15,Tides of Destiny,1,158.55
2023-01-04,Stormbreaker,21,14450.52
2023-09-04,Infinite Realms,10,8029.8
2023-01-27,The Sapphire Flame,1,644.34
2024-07-17,Beneath the Stars,13,6133.27
2024-06-24,Silent Guardian,14,9480.66
2023-04-30,Shadows of Fate,4,3523.2
2023-08-30,Beyond the Veil,17,17638.35
2024-07-10,The Final Oath,17,19379.32
2023-08-08,The Sapphire Flame,4,2577.36
2024-04-24,The Silent Sea,24,15053.28
2023-07-10,Beneath the Stars,10,4717.9
2023-12-20,Shadows of Fate,6,5284.8
2023-12-27,Nightfall,4,2630.32
2024-01-27,The Final Oath,16,18239.36
2024-07-26,Echoes of Eternity,23,5061.15
2023-11-29,The Forgotten Tale,21,10854.48
2024-04-22,The Celestial Key,4,3352.92
2023-01-29,The Lost Horizon,18,9230.4
2023-11-10,Shadows of Fate,23,20258.4
2024-03-27,The Silent Sea,6,3763.32
2023-12-27,Silent Guardian,11,7449.09
2024-05-13,Beyond the Veil,7,7262.85
2023-11-21,The Celestial Key,4,3352.92
2023-04-22,The Final Oath,18,20519.28
2023-03-03,The Lost Horizon,19,9743.2
2024-03-09,Edge of Tomorrow,1,270.52
2023-10-08,The Sapphire Flame,12,7732.08
2023-02-19,The Hidden Path,13,10225.15
2023-11-24,The Final Oath,2,2279.92
2023-10-25,Infinite Realms,3,2408.94
2023-01-27,Fragments of Light,5,3302.5
2024-09-16,The Lost Horizon,6,3076.8
2024-08-25,The Time Weaver,10,8027.5
2023-03-05,The Hidden Path,12,9438.6
2024-08-02,Infinite Realms,2,1605.96
2023-03-27,Last Ember,6,5377.14
2023-07-31,Dreamcatcher,23,4637.26
2023-06-25,The Time Weaver,21,16857.75
2024-08-08,Rise of Legends,5,1022.75
2024-07-22,Tides of Destiny,10,1585.5
2024-09-08,Golden Empire,17,17731.51
2024-03-07,Silent Guardian,14,9480.66
2023-08-24,Kingdom of Ash,17,18131.86
2023-06-14,Heart of Steel,6,5524.56
2024-03-28,The Final Oath,23,26219.08
2024-03-06,City of Echoes,12,5824.68
2024-02-04,Crimson Sky,7,4474.61
2024-02-29,Echoes of Eternity,15,3300.75
2024-08-02,The Final Oath,1,1139.96
2024-02-05,Crimson Sky,14,8949.22
2024-05-17,The Sapphire Flame,23,14819.82
2024-09-30,Beneath the Stars,8,3774.32
2024-07-02,Kingdom of Ash,4,4266.32
2024-02-09,Beneath the Stars,13,6133.27
2024-08-19,City of Echoes,9,4368.51
2023-09-02,Fragments of Light,17,11228.5
2024-09-06,Winds of Winter,1,699.61
2023-06-28,The Forgotten Tale,15,7753.2
2023-11-30,Whispers of Time,12,3490.68
2024-07-20,Fragments of Light,12,7926.0
2023-01-20,Stormbreaker,22,15138.64
2024-04-27,Stormbreaker,13,8945.56
2024-09-21,Kingdom of Ash,3,3199.74
2023-11-01,Beneath the Stars,11,5189.69
2023-06-10,City of Echoes,22,10678.58
2024-04-17,Winds of Winter,1,699.61
2024-03-11,City of Echoes,5,2426.95
2024-05-27,Beyond the Veil,13,13488.15
2023-12-27,Beyond the Veil,13,13488.15
2023-02-18,Last Ember,20,17923.8
2024-06-30,Dreamcatcher,2,403.24
2023-12-04,Silent Guardian,13,8803.47
2023-10-13,Beneath the Stars,20,9435.8
2023-11-08,Whispers of Time,21,6108.69
2023-09-13,The Silent Sea,8,5017.76
2023-04-21,The Lost Horizon,1,512.8
2024-02-04,Infinite Realms,8,6423.84
2024-05-29,Crimson Sky,16,10227.68
2023-08-04,The Hidden Path,4,3146.2
2023-11-11,The Hidden Path,23,18090.65
2023-06-08,Beneath the Stars,4,1887.16
2023-04-09,Infinite Realms,2,1605.96
2024-07-10,Beneath the Stars,1,471.79
2023-09-20,Tides of Destiny,2,317.1
2023-12-31,Beyond the Veil,6,6225.3
2024-08-24,The Lost Horizon,18,9230.4
2023-09-18,The Time Weaver,5,4013.75
2023-09-20,Rise of Legends,3,613.65
2024-02-01,Last Ember,18,16131.42
2024-01-08,Edge of Tomorrow,17,4598.84
2024-01-10,Heart of Steel,21,19335.96
2023-03-10,Whispers of Time,15,4363.35
2023-06-20,Tides of Destiny,14,2219.7
2024-06-24,The Hidden Path,1,786.55
2023-03-31,The Forgotten Tale,9,4651.92
2023-05-11,The Time Weaver,19,15252.25
2024-05-19,Edge of Tomorrow,10,2705.2
2023-11-20,Fragments of Light,6,3963.0
2023-06-19,Fragments of Light,11,7265.5
2024-09-14,The Celestial Key,10,8382.3
2023-11-19,The Forgotten Tale,4,2067.52
2024-08-20,The Final Oath,20,22799.2
2024-09-17,The Hidden Path,15,11798.25
2024-09-13,The Lost Horizon,10,5128.0
2023-09-30,Shadows of Fate,16,14092.8
2023-06-25,Fragments of Light,17,11228.5
2023-10-23,The Lost Horizon,6,3076.8
2023-01-27,Arcane Secrets,23,26229.66
2023-06-22,Golden Empire,12,12516.36
2023-08-06,The Lost Horizon,3,1538.4
2023-11-30,Whispers of Time,1,290.89
2023-05-24,Silent Guardian,4,2708.76
2023-04-20,Winds of Winter,11,7695.71
2024-06-15,Silent Guardian,4,2708.76
2023-02-15,Tides of Destiny,16,2536.8
2023-09-11,Golden Empire,5,5215.15
2023-05-08,Infinite Realms,1,802.98
2024-02-12,Beneath the Stars,1,471.79
2023-07-09,The Final Oath,18,20519.28
2023-06-15,The Lost Horizon,21,10768.8
2024-10-04,Fragments of Light,18,11889.0
2024-05-08,Fragments of Light,15,9907.5
2024-01-23,Tides of Destiny,20,3171.0
2024-05-07,Kingdom of Ash,17,18131.86
2023-10-21,Rise of Legends,10,2045.5
2024-08-16,The Sapphire Flame,18,11598.12
2023-02-07,Silent Guardian,9,6094.71
2024-02-15,The Forgotten Tale,1,516.88
2024-05-30,Echoes of Eternity,3,660.15
2024-05-14,The Sapphire Flame,15,9665.1
2023-09-16,The Final Oath,15,17099.4
2024-08-13,The Time Weaver,13,10435.75
2023-11-14,The Celestial Key,19,15926.37
